Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/analytics/heatmap?workspace_id=ws-ce242896,2,0,7,7.370399995124899,6.999699995503761,7.741099994746037,481.0,0.06770004953738142,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/analytics/heatmap?workspace_id=ws-dc1834a3,2,0,5,8.418899997195695,4.922499996609986,11.915299997781403,481.0,0.06770004953738142,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/analytics/heatmap?workspace_id=ws-e5a27a77,2,0,9.072300003026612,9.468600001127925,9.072300003026612,9.864899999229237,481.0,0.06770004953738142,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/analytics/heatmap?workspace_id=ws-e93a3e95,2,0,6.366000001435168,7.3822500053211115,6.366000001435168,8.398500009207055,481.0,0.06770004953738142,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/analytics/heatmap?workspace_id=ws-eb5ad9ff,1,0,18.490999995265156,18.490999995265156,18.490999995265156,18.490999995265156,481.0,0.03385002476869071,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/analytics/heatmap?workspace_id=ws-fe39d105,1,0,10.268099998938851,10.268099998938851,10.268099998938851,10.268099998938851,481.0,0.03385002476869071,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/analytics/wla?workspace_id=ws-04d153a1,1,0,6.859200002509169,6.859200002509169,6.859200002509169,6.859200002509169,306.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/analytics/wla?workspace_id=ws-06ec755c,1,0,8.709299989277497,8.709299989277497,8.709299989277497,8.709299989277497,306.0,0.03385002476869071,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/analytics/wla?workspace_id=ws-07098149,4,0,5,7.631374999618856,4.142299992963672,13.031900001806207,306.0,0.13540009907476283,0.0,8,8,13,13,13,13,13,13,13,13,13
GET,/analytics/wla?workspace_id=ws-0fd28c26,1,0,9.403400006704032,9.403400006704032,9.403400006704032,9.403400006704032,306.0,0.03385002476869071,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/analytics/wla?workspace_id=ws-10486249,1,0,10.080899999593385,10.080899999593385,10.080899999593385,10.080899999593385,306.0,0.03385002476869071,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/analytics/wla?workspace_id=ws-1b3e66e2,2,0,5,8.047600007557776,4.802900002687238,11.292300012428313,306.0,0.06770004953738142,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/analytics/wla?workspace_id=ws-216e3b4d,1,0,933.1353000015952,933.1353000015952,933.1353000015952,933.1353000015952,306.0,0.03385002476869071,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/analytics/wla?workspace_id=ws-2964316b,2,0,5,309.0457999933278,4.755799993290566,613.3357999933651,306.0,0.06770004953738142,0.0,610,610,610,610,610,610,610,610,610,610,610
GET,/analytics/wla?workspace_id=ws-2b0a3ffd,2,0,8.458700001938269,13.338750002731103,8.458700001938269,18.21880000352394,306.0,0.06770004953738142,0.0,18,18,18,18,18,18,18,18,18,18,18
